LTG_ID,LTG_START,LTG_ZIEL,WIDERSTAND_R_SUM_OHM,REAKTANZ_X_SUM_OHM,NENNSTROM_MIN_A,ERSCHL_STROM_SUM_A,LAENGE_SUM_KM,BAUJAHR_MIN,QUERSCHNITT_MIN_MM2
BA01,UW-001121,SA-015449,3.3745,1.9215,285,42.9115,15.7530,1982,120
BA02,UW-001121,SA-015449,1.0635,0.9525,417,28.0995,8.5150,1995,240
BA07,UW-001121,SA-021188,1.1757,0.6776,285,15.3057,5.5870,1983,120
BA08,UW-001121,SA-021188,0.8239,0.4834,319,11.0554,4.0060,1991,150
BA09,UW-001121,SA-021188,0.6783,0.3980,319,9.0936,3.2950,1991,150
BA0A,UW-001121,ON-024390,0.4524,0.5800,535,22.6200,5.8000,,400
BA11,UW-001121,ON-013985,0.5123,0.3005,319,6.8717,2.4900,1991,150
BA17,SA-012603,SA-005324,0.8722,0.7815,417,23.0505,6.9850,1996,240
BA23,SA-014077,SA-019744,0.9779,0.5701,285,12.9715,4.7130,1984,120
BA31,SA-012621,SA-012603,1.7413,0.9383,285,20.1089,7.5720,1983,120
BA32,SA-012621,SA-012603,2.1229,1.1787,285,25.8612,9.6000,1983,120
BA33,SA-012621,SA-012603,4.7015,2.5693,285,55.6718,20.8220,1983,120
BA35,UW-001121,SA-012621,3.6644,1.9956,285,43.0773,16.1420,1982,120
BA36,SA-012621,SA-020764,2.3668,1.3555,285,30.3935,11.1300,1987,120
BA37,SA-012621,SA-015449,3.0705,1.5623,285,31.9025,12.3770,1984,120
BA41,SA-014077,SA-021188,0.5574,0.3138,285,6.9713,2.5710,1984,120
BA43,ON-013985,SA-014077,0.1398,0.0701,285,1.4140,0.5530,1984,120
BA44,ON-013985,SA-014077,0.1767,0.0885,285,1.7871,0.6990,1984,120
BA45,UW-001121,SA-014077,0.7296,0.4258,285,9.7115,3.5260,1984,120
BA46,SA-014077,ON-001753,0.1002,0.0589,319,1.3441,0.4870,1999,150
BA47,SA-014077,ON-001753,0.1098,0.0600,285,1.2989,0.4860,1984,120
BA48,SA-014077,SA-022380,0.4589,0.2627,285,5.9080,2.1630,1984,120
BA51,UW-001121,SA-019744,1.4070,0.8048,285,18.0468,6.6120,1987,120
BA52,UW-001121,SA-019744,0.7816,0.4583,319,10.4872,3.8000,1983,150
BA53,UW-001121,SA-019744,1.0764,0.6224,285,14.0908,5.1370,1984,120
BA54,SA-014077,SA-019744,0.9896,0.5620,285,12.5456,4.6100,1984,120
BA56,SA-019744,SA-021786,1.5474,0.8035,285,16.7055,6.4100,1984,120
BA57,SA-019744,SA-005324,3.4570,1.8629,285,39.9371,15.0380,1983,120
BA58,SA-019744,SA-005324,3.5229,1.9760,285,43.6603,16.1340,1986,120
BA59,SA-019744,SA-021786,0.7472,0.6694,417,19.7439,5.9830,1998,240
BA71,UW-001121,SA-020764,0.8389,0.7516,417,22.1562,6.7140,1995,240
BA72,UW-001121,SA-020764,0.8428,0.7551,417,22.2585,6.7450,1995,240
BA73,SA-020764,SA-015449,0.6174,0.4551,285,12.2116,3.9440,1986,120
BA81,SA-021786,SA-005324,1.5333,0.8840,285,19.9539,7.2840,1984,120
BB01,UW-001179,SA-018796,0.5634,0.3303,319,7.5588,2.7390,1990,150
BB04,UW-001179,SA-010071,2.3992,1.2581,285,26.3729,10.0680,1983,120
BB0A,UW-001179,ON-024391,0.7395,0.9496,535,37.0344,9.4960,2001,400
BB0B,UW-001179,ON-024393,0.0002,0.0001,319,0.0027,0.0010,,150
BB0D,UW-001179,ON-000932,0.0002,0.0001,319,0.0027,0.0010,,150
BB11,UW-001179,SA-000016,0.4519,0.2809,319,6.7350,2.3600,1994,150
BB12,UW-001179,SA-000016,0.4724,0.2772,319,6.3391,2.2970,1997,150
BB13,UW-001179,SA-000016,0.6967,0.4097,319,9.4046,3.4020,1991,150
BB31,UW-001179,SA-010071,2.3270,1.2939,285,28.4369,10.5490,1983,120
BB32,UW-001179,SA-010071,2.0535,1.1772,285,26.4890,9.6920,1986,120
BB33,UW-001179,ON-003325,0.5896,0.3460,319,7.9095,2.8660,1988,150
BB41,UW-001179,SA-018796,0.3219,0.2428,319,6.5851,2.1130,2007,150
BB42,SA-018796,SA-001183,0.1739,0.1020,319,2.3347,0.8460,1988,150
BB43,SA-018796,SA-000017,0.0662,0.0593,417,1.7490,0.5300,1991,240
BB47,UW-001179,SA-000017,0.2874,0.2573,417,7.5999,2.3030,1992,240
BB51,UW-001179,SA-004788,0.2017,0.1807,417,5.3328,1.6160,1991,240
BB52,UW-001179,SA-004788,0.1745,0.1564,417,4.6134,1.3980,1991,240
BB61,UW-001179,SA-001203,1.6038,0.9142,285,20.4681,7.5085,1983,120
BB62,UW-001179,SA-001203,1.6246,0.9536,319,21.7781,7.8910,1991,150
BB63,SA-001203,SA-012219,2.5271,1.4692,285,33.3134,12.1200,1984,120
BB64,SA-001203,SA-012603,3.2816,1.6984,285,35.1753,13.5240,1985,120
BB65,SA-001203,SA-012603,4.2360,2.2024,285,45.8227,17.5715,1983,120
